PhaseVar,MeasVar,K_KNet,K_RNN,K_UKF,ExcessNoise_KNet,ExcessNoise_RNN,ExcessNoise_UKF,MSE_KalmanNet,CI_KalmanNet,MSE_RNN,CI_RNN,MSE_UKF,CI_UKF,MSE_KalmanNet_Last,MSE_RNN_Last,MSE_UKF_Last
0.1,0.08,1.402184335,1.09310231,1.348466415,0.106759309,0.174203026,0.115976702,0.013770394,0.000307025,0.04712936,0.001023008,0.019318953,0.000403641,0.013770394,0.04712936,0.019318953
0.078,0.08,1.448645521,1.169355817,1.359031301,0.09950908,0.154294588,0.113847355,0.009907036,0.00020961,0.037631966,0.000821177,0.01822321,0.00037355,0.009907036,0.037631966,0.01822321
0.055,0.08,1.444398142,1.25676484,1.358421443,0.100046525,0.133946278,0.114237132,0.01056812,0.000227021,0.028131071,0.000597618,0.017992303,0.00036602,0.01056812,0.028131071,0.017992303
0.032,0.08,1.456857941,1.344963304,1.380840242,0.098282403,0.116548665,0.110171753,0.009082533,0.000192771,0.018398153,0.000386367,0.015902597,0.000319649,0.009082533,0.018398153,0.015902597
0.01,0.08,1.517095656,1.476184116,1.441333847,0.089605948,0.095338407,0.10031837,0.004573429,9.48E-05,0.007704373,0.000151819,0.010928409,0.00021559,0.004573429,0.007704373,0.010928409
0.1,0.057,1.623760823,1.19084693,1.511814479,0.074311022,0.145252644,0.087724918,0.008627845,0.000182761,0.044684403,0.000965847,0.016302058,0.000334434,0.008627845,0.044684403,0.016302058
0.078,0.057,1.613042282,1.279237186,1.509313223,0.075256041,0.126426886,0.088370527,0.009216554,0.000202621,0.03592298,0.000771662,0.016073078,0.000327775,0.009216554,0.03592298,0.016073078
0.055,0.057,1.634906365,1.382891717,1.515419588,0.073119014,0.107440171,0.087451746,0.00752697,0.000163024,0.02606274,0.000555835,0.015462984,0.000305731,0.00752697,0.02606274,0.015462984
0.032,0.057,1.658371713,1.492603801,1.549499,0.070448217,0.090561996,0.082901706,0.006895633,0.000150639,0.01676213,0.000354393,0.014395771,0.000285275,0.006895633,0.01676213,0.014395771
0.01,0.057,1.709087634,1.648405631,1.597250241,0.065169363,0.071383276,0.077105267,0.004102281,8.47E-05,0.007002657,0.000140995,0.010712731,0.000204388,0.004102281,0.007002657,0.010712731
0.1,0.033,1.869709157,1.343821672,1.770968813,0.050509672,0.111624033,0.057644029,0.006411138,0.0001383,0.04204763,0.000924656,0.013172756,0.000252328,0.006411138,0.04204763,0.013172756
0.078,0.033,1.891806887,1.406692354,1.774173933,0.048941298,0.10125146,0.05749875,0.006060684,0.000185799,0.034133457,0.000732811,0.013064845,0.000250993,0.006060684,0.034133457,0.013064845
0.055,0.033,1.926862774,1.555223822,1.763793602,0.046337045,0.080570625,0.058360925,0.005735938,0.000271139,0.024608422,0.000524114,0.012955016,0.000243079,0.005735938,0.024608422,0.012955016
0.032,0.033,1.950914442,1.705890568,1.789234928,0.04411213,0.063788488,0.056079617,0.005418785,0.000122069,0.015058127,0.000318286,0.011821049,0.000223578,0.005418785,0.015058127,0.011821049
0.01,0.033,2.036214804,1.939930801,1.831417367,0.038750992,0.044797819,0.052743526,0.002943576,6.15E-05,0.005961579,0.000121052,0.00993998,0.000179785,0.002943576,0.005961579,0.00993998
0.1,0.01,2.505475465,1.496448515,2.223435553,0.018836389,0.086196702,0.028595988,0.004385164,9.81E-05,0.039013047,0.000857344,0.00967294,0.00016272,0.004385164,0.039013047,0.00967294
0.078,0.01,2.570841208,1.641911244,2.235874749,0.017077795,0.068850852,0.028102897,0.003734346,8.94E-05,0.030780096,0.00067032,0.009559402,0.000153334,0.003734346,0.030780096,0.009559402
0.055,0.01,2.641224829,1.838564286,2.228168759,0.015386532,0.051072941,0.028382805,0.002837307,6.97E-05,0.021737877,0.000473164,0.009381167,0.000147225,0.002837307,0.021737877,0.009381167
0.032,0.01,2.622122936,2.070155772,2.253763426,0.01581615,0.035921536,0.027367791,0.002869826,7.09E-05,0.013440391,0.000288293,0.008995512,0.000146781,0.002869826,0.013440391,0.008995512
0.01,0.01,2.764826069,2.477309478,2.28625701,0.012832159,0.019603306,0.026043672,0.001397991,3.02E-05,0.00472959,9.92E-05,0.008188197,0.00012987,0.001397991,0.00472959,0.008188197
