PhaseVar,MeasVar,K_KNet,K_RNN,K_UKF,ExcessNoise_KNet,ExcessNoise_RNN,ExcessNoise_UKF,MSE_KalmanNet,CI_KalmanNet,MSE_RNN,CI_RNN,MSE_UKF,CI_UKF,MSE_KalmanNet_Last,MSE_RNN_Last,MSE_UKF_Last
0.1,0.08,1.4321939949997935,1.3189096074065148,1.3854479690020356,0.10219308547905101,0.12194696058782667,0.10905039572625055,0.010208534,0.00022926670399073414,0.020531919,0.00046622040416701295,0.015125751,0.0003441862431673962,0.010208534,0.020531919,0.015125751
0.078,0.08,1.4726201589518064,1.3962984958399836,1.4023030491208766,0.09611671891230049,0.10813635270462432,0.10639585752380833,0.00845676,0.0001879263429881823,0.014452631,0.000329692909290598,0.014300062,0.00031711438609228435,0.00845676,0.014452631,0.014300062
0.055,0.08,1.494328386717934,1.452877630544081,1.4136209587697852,0.09276084697723169,0.09858541498470298,0.10454903613845029,0.006372451,0.00014489916115767513,0.009354875,0.00021420464752392563,0.013072637,0.0002947583834110647,0.006372451,0.009354875,0.013072637
0.032,0.08,1.5362510944912993,1.5262741523503855,1.4422091853978394,0.08699592659800559,0.08835553880871888,0.09997434777186082,0.0034118465,7.828159553542846e-05,0.0041287243,9.351498720960066e-05,0.010967339,0.00024724789802662076,0.0034118465,0.0041287243,0.010967339
0.01,0.08,1.5797880001844176,1.5798008117793019,1.490439189874261,0.08146271050411096,0.0813472631233977,0.09315215504702573,0.0005449824,1.2432610662812462e-05,0.00050050166,1.1330312862297254e-05,0.006609833,0.00015158262042791912,0.0005449824,0.00050050166,0.006609833
0.1,0.057,1.6257104983816384,1.4701030120168257,1.57580067905447,0.07417136032908662,0.0937153258270455,0.07981604836844995,0.008178062,0.00018531854511561683,0.018115938,0.0004075780937336001,0.011645605,0.0002617755734708628,0.008178062,0.018115938,0.011645605
0.078,0.057,1.6466463321123481,1.5451065208419639,1.6005172773075964,0.0716610851445988,0.0836202369819047,0.07666522625965128,0.006822928,0.00015414533008802048,0.013135118,0.00029548182191690227,0.010900873,0.0002448907160893848,0.006822928,0.013135118,0.010900873
0.055,0.057,1.6811950136262976,1.6377634698273091,1.6000755718856041,0.06814733050776924,0.07251975537249629,0.07672316584046102,0.0053975256,0.0001231526318674168,0.0083143525,0.00018867400243459978,0.010329693,0.00023426618932511557,0.0053975256,0.0083143525,0.010329693
0.032,0.057,1.726790900309648,1.7087290308363199,1.6318480238303734,0.06343063824065971,0.06534749530182894,0.07320006313314623,0.0031002818,6.96920376727115e-05,0.0038177678,8.56983605500724e-05,0.0087614525,0.0001970414207355121,0.0031002818,0.0038177678,0.0087614525
0.01,0.057,1.7818363706745945,1.7823206114359027,1.6880085078834832,0.05838042885086668,0.058315476815757085,0.06708591672465238,0.00046738898,1.073049151615702e-05,0.00048512153,1.109939414110703e-05,0.0055420073,0.000126532846713971,0.00046738898,0.00048512153,0.0055420073
0.1,0.033,1.9472767402252482,1.7201245066914752,1.8944007453116092,0.044292462502805885,0.06265564978858204,0.04790110838431263,0.0055775177,0.00012789770044194698,0.015407305,0.0003537162964265322,0.0072644125,0.00016315912704074076,0.0055775177,0.015407305,0.0072644125
0.078,0.033,1.970062327133172,1.7997200443129493,1.9118145027612985,0.04287256463226554,0.055470991527472945,0.046664734996267256,0.0047315676,0.00010802718360966285,0.010824491,0.00024764121629124993,0.006966867,0.0001597334513518674,0.0047315676,0.010824491,0.006966867
0.055,0.033,2.004947118384474,1.913705996710554,1.9321167984411152,0.04063283293472839,0.046572161838748516,0.045313964159782914,0.0037783396,8.544494243823272e-05,0.0067733824,0.00015352606398446776,0.006623924,0.00014899668847524945,0.0037783396,0.0067733824,0.006623924
0.032,0.033,2.051555355463487,2.017712411989781,1.9509263857372776,0.037895639077977696,0.03984032339817861,0.04398565031901782,0.002358876,5.31671370049378e-05,0.00334325,7.659773338852244e-05,0.0059036897,0.00013270651853208341,0.002358876,0.00334325,0.0059036897
0.01,0.033,2.1181688446917315,2.1226564516913546,2.0130415709185514,0.03431883869997625,0.03407984719232615,0.04004781289400134,0.00044131555,1.002793984527105e-05,0.0004776794,1.0767349266697167e-05,0.004008927,9.107381450303071e-05,0.00044131555,0.0004776794,0.004008927
0.1,0.01,2.6992530411029936,2.102230527711729,2.6786275988482293,0.0141238185877532,0.034303123950392346,0.014593239769546833,0.0021517565,4.846136970122245e-05,0.012289256,0.0002791685340175274,0.0023817387,5.3241759859715196e-05,0.0021517565,0.012289256,0.0023817387
0.078,0.01,2.717313480237449,2.3070167597960167,2.6887333278699046,0.013763214566281875,0.025236213080956308,0.01438402966965395,0.0019436859,4.399247574378145e-05,0.007936266,0.00017711997285463628,0.0023468162,5.24700844191381e-05,0.0019436859,0.007936266,0.0023468162
0.055,0.01,2.748988662215039,2.4939284656925675,2.683954323533214,0.01312820152124407,0.01915892774829549,0.014475742551611007,0.0016588476,3.742294059912967e-05,0.0047158203,0.00010616392999792643,0.0023084406,5.236484629546771e-05,0.0016588476,0.0047158203,0.0023084406
0.032,0.01,2.786735045425046,2.659889186666831,2.703939149195524,0.01242030136093124,0.01499626094648554,0.014050383343442576,0.0012105891,2.7425203335187123e-05,0.0023620178,5.312520124104761e-05,0.0021748086,4.905167873873725e-05,0.0012105891,0.0023620178,0.0021748086
0.01,0.01,2.8757648544786347,2.8738867843458964,2.7290599721034434,0.010903411300521254,0.01093795610535888,0.013533579213397682,0.00035925445,8.077507615790462e-06,0.00044067943,9.968744798068409e-06,0.0017890285,4.094137131152841e-05,0.00035925445,0.00044067943,0.0017890285
